threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.09,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.18,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.27,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.36,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.44999999999999996,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.54,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.63,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.72,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.8099999999999999,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.8999999999999999,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
0.99,0.05663249771643153,0.03266135333645881,0.01808031021514167,0.0
